month_date,threshold_actual,name,value,value_12m,threshold_type,real_dollars_date,threshold_nominal
2013-03-01,10.010561979525805,count,29.343061049028385,25.261497390810284,real,February 2023,13
2013-04-01,9.989660133665728,count,22.885024871330952,25.15484138841331,real,February 2023,13
2013-05-01,9.99379740624834,count,23.882161988749314,25.046579621092537,real,February 2023,13
2013-06-01,10.017586723598365,count,29.346623596446044,25.460547633380106,real,February 2023,13
2013-07-01,10.037195671776376,count,31.320131998164065,25.885661030006737,real,February 2023,13
2013-08-01,10.061157375484006,count,28.891661737514777,26.2561575802305,real,February 2023,13
2013-09-01,10.064949875351402,count,29.072936435560518,26.664537514085666,real,February 2023,13
2013-10-01,10.07033694902668,count,28.770856514999007,27.117818098296432,real,February 2023,13
2013-11-01,10.088911579059033,count,27.37574786535598,27.37614132637664,real,February 2023,13
2013-12-01,10.115588367899006,count,30.1079000313708,27.856784837489442,real,February 2023,13
2014-01-01,10.14011032726887,count,28.103216878413402,28.149551530652467,real,February 2023,13
2014-02-01,10.151272343924044,count,27.500791231034807,28.050009516497337,real,February 2023,13
2014-03-01,10.17200180342651,count,27.556886460657996,27.90116163413314,real,February 2023,13
2014-04-01,10.190964302763485,count,30.673490882511302,28.550200468398167,real,February 2023,13
2014-05-01,10.210357767994484,count,28.512744942254596,28.936082381190275,real,February 2023,13
2014-06-01,10.223847000477376,count,28.823154380864093,28.892459946558446,real,February 2023,13
2014-07-01,10.235353789847768,count,28.694435357050434,28.67365189313231,real,February 2023,13
2014-08-01,10.233716119450484,count,26.80384681910905,28.499667316598497,real,February 2023,13
2014-09-01,10.234448761470322,count,27.138234846935546,28.338442184213086,real,February 2023,13
2014-10-01,10.232423221768418,count,28.11947802817713,28.284160643644594,real,February 2023,13
2014-11-01,10.213159046305627,count,28.616738808576113,28.387576555579606,real,February 2023,13
2014-12-01,10.181655439452607,count,26.970613477233613,28.126136009401506,real,February 2023,13
2015-01-01,10.11679507240227,count,26.14019812672383,27.962551113427377,real,February 2023,13
2015-02-01,10.14243754309659,count,26.459518073218966,27.875778350276057,real,February 2023,13
2015-03-01,10.169760780777594,count,27.026067921802873,27.831543472038128,real,February 2023,13
2015-04-01,10.18036254177054,count,26.9242480292983,27.519106567603714,real,February 2023,13
2015-05-01,10.213934784914867,count,26.48649001572009,27.350251990392504,real,February 2023,13
2015-06-01,10.242206147562722,count,26.806881041784763,27.182229212135894,real,February 2023,13
2015-07-01,10.258453561767357,count,26.782103661312256,27.022868237491046,real,February 2023,13
2015-08-01,10.258410465177954,count,27.775468282251914,27.10383669275295,real,February 2023,13
2015-09-01,10.235353789847768,count,25.753044887850702,26.988404196162545,real,February 2023,13
2015-10-01,10.24548148835729,count,25.22857141454549,26.747495311693243,real,February 2023,13
2015-11-01,10.25772091974752,count,26.452004342701525,26.56710077287036,real,February 2023,13
2015-12-01,10.246688192860551,count,24.408861507765874,26.353621442081383,real,February 2023,13
2016-01-01,10.24199066461571,count,23.621106196875076,26.143697114593987,real,February 2023,13
2016-02-01,10.228372142364611,count,24.299975938347906,25.9637352700214,real,February 2023,13
2016-03-01,10.260436004879859,count,24.921162279974247,25.78832646653568,real,February 2023,13
2016-04-01,10.29974009441468,count,24.345935423604377,25.573467082727852,real,February 2023,13
2016-05-01,10.324089667426934,count,24.15430483681298,25.379118317818925,real,February 2023,13
2016-06-01,10.352748899379408,count,25.43627756972718,25.264901361814125,real,February 2023,13
2016-07-01,10.34753421206174,count,23.762076953958484,25.013232469534646,real,February 2023,13
2016-08-01,10.366669097756324,count,24.609193640184834,24.74937624936239,real,February 2023,13
2016-09-01,10.393863045669123,count,23.079069229957547,24.52654494453796,real,February 2023,13
2016-10-01,10.418212618681377,count,21.55213447178,24.2201751993075,real,February 2023,13
2016-11-01,10.43049514666101,count,22.379660034589925,23.880813173631537,real,February 2023,13
2016-12-01,10.456827162785762,count,23.38840906142081,23.795775469769445,real,February 2023,13
2017-01-01,10.499104916989339,count,21.453783339959415,23.61516523169314,real,February 2023,13
2017-02-01,10.515826393677397,count,22.434090416884302,23.459674771571176,real,February 2023,13
2017-03-01,10.510913382485546,count,22.435651167778346,23.25254884555485,real,February 2023,13
2017-04-01,10.523885455895613,count,21.74702750310535,23.035973185513264,real,February 2023,13
2017-05-01,10.515740200498593,count,21.59929679967784,22.823055849085335,real,February 2023,13
2017-06-01,10.522592558213546,count,21.915040387075518,22.529619417197697,real,February 2023,13
2017-07-01,10.526040285365724,count,20.343861495216547,22.244768128969202,real,February 2023,13
2017-08-01,10.566551079403807,count,20.209868577418707,21.878157707072027,real,February 2023,13
2017-09-01,10.620508009335385,count,21.547052621517167,21.75048965636866,real,February 2023,13
2017-10-01,10.628739457911207,count,21.091716399199893,21.71212148365365,real,February 2023,13
2017-11-01,10.657097013737866,count,20.41064946155075,21.54803726923372,real,February 2023,13
2017-12-01,10.67955033681642,count,19.974371306504093,21.26353412299066,real,February 2023,13
2018-01-01,10.724974142046358,count,19.90547483387719,21.134508414150474,real,February 2023,13
2018-02-01,10.753848856945844,count,18.88776771143004,20.838981522029286,real,February 2023,13
2018-03-01,10.75591749323715,count,17.568244370946257,20.433364288959947,real,February 2023,13
2018-04-01,10.783930276348592,count,18.239343060277463,20.14105725205762,real,February 2023,13
2018-05-01,10.808279849360844,count,18.26016849373157,19.862796559895433,real,February 2023,13
2018-06-01,10.818019678565744,count,18.628776598864278,19.588941244211163,real,February 2023,13
2018-07-01,10.82646661008858,count,17.225518334883702,19.329079314183424,real,February 2023,13
2018-08-01,10.845816978730175,count,17.4993382398159,19.10320178604986,real,February 2023,13
2018-09-01,10.868184108629926,count,17.70785988170796,18.783269057732426,real,February 2023,13
2018-10-01,10.893611096377233,count,17.562328627752642,18.489153410111822,real,February 2023,13
2018-11-01,10.885939903463639,count,17.315464720670757,18.23122134837182,real,February 2023,13
2018-12-01,10.893395613430222,count,16.877924556911548,17.973184119239107,real,February 2023,13
2019-01-01,10.891283880549514,count,17.264649835782922,17.75311536939792,real,February 2023,13
2019-02-01,10.917314220548453,count,15.28878042164043,17.453199761915453,real,February 2023,13
2019-03-01,10.955239219222404,count,16.1420684398269,17.334351767655505,real,February 2023,13
2019-04-01,10.998723677929242,count,15.170582096405553,17.07862168733285,real,February 2023,13
2019-05-01,11.002128308492017,count,16.787801710312092,16.955924455381222,real,February 2023,13
2019-06-01,10.996482655280326,count,15.488895276211307,16.694267678493475,real,February 2023,13
2019-07-01,11.019151461305892,count,17.528847815591163,16.719545135219096,real,February 2023,13
2019-08-01,11.035269585742322,count,17.185968641257656,16.693431002005912,real,February 2023,13
2019-09-01,11.054749244152125,count,16.468437874506982,16.59014583473916,real,February 2023,13
2019-10-01,11.08633904418395,count,17.48143338380839,16.583404564410476,real,February 2023,13
2019-11-01,11.110430037659787,count,15.747590540444788,16.452748382724977,real,February 2023,13
2019-12-01,11.14546756484379,count,17.165680421296408,16.476728038090382,real,February 2023,13
2020-01-01,11.163611228982123,count,15.90535657122269,16.36345359937703,real,February 2023,13
2020-02-01,11.17270460934599,count,15.37541573173278,16.37067320855139,real,February 2023,13
2020-03-01,11.1242640428579,count,15.243022728744473,16.295752732627857,real,February 2023,13
2020-04-01,11.036691773192594,count,10.60210047386732,15.91504593074967,real,February 2023,13
2020-05-01,11.027038137166498,count,11.91862260568178,15.509281005363812,real,February 2023,13
2020-06-01,11.075220124118175,count,12.121088217829916,15.228630417165363,real,February 2023,13
2020-07-01,11.130900917625842,count,12.854457000900634,14.839097849274484,real,February 2023,13
2020-08-01,11.179729353418553,count,12.160140259303287,14.420278817444954,real,February 2023,13
2020-09-01,11.206363045669123,count,13.494666621127132,14.172464546329966,real,February 2023,13
2020-10-01,11.217438869145493,count,13.62779898211841,13.851328346189135,real,February 2023,13
2020-11-01,11.240150771760462,count,12.819460202851035,13.607317484722989,real,February 2023,13
2020-12-01,11.292814804009971,count,13.395243504905611,13.29311440835709,real,February 2023,13
2021-01-01,11.319319206492334,count,13.543532521428977,13.096295737540947,real,February 2023,13
2021-02-01,11.361898636821724,count,13.241117213995215,12.918437527729482,real,February 2023,13
2021-03-01,11.416889884898954,count,13.129237957442482,12.74228879678765,real,February 2023,13
2021-04-01,11.492567495889247,count,12.603166333203601,12.909044285065674,real,February 2023,13
2021-05-01,11.569020845488781,count,12.971641202224987,12.996795834777608,real,February 2023,13
2021-06-01,11.660170132074471,count,12.065570190566108,12.992169332505624,real,February 2023,13
2021-07-01,11.712101522304142,count,12.174464963228651,12.935503329366291,real,February 2023,13
2021-08-01,11.759766350182993,count,10.896510210025577,12.830200825259816,real,February 2023,13
2021-09-01,11.809672200710763,count,11.557731401264874,12.668789556937961,real,February 2023,13
2021-10-01,11.917155094679892,count,10.960625106175213,12.446525067276028,real,February 2023,13
2021-11-01,12.011493528881346,count,13.874914155930702,12.534479563366,real,February 2023,13
2021-12-01,12.105271707420568,count,13.429396992213439,12.53732568730832,real,February 2023,13
2022-01-01,12.179053068477163,count,12.216165154221102,12.426711740040997,real,February 2023,13
2022-02-01,12.265720309765024,count,12.396152205547649,12.356297989337031,real,February 2023,13
2022-03-01,12.389062748634167,count,12.908351516759511,12.337890785946785,real,February 2023,13
2022-04-01,12.438149763963294,count,12.32399657807923,12.31462663968642,real,February 2023,13
2022-05-01,12.552657402004984,count,12.462588536067434,12.27220558417329,real,February 2023,13
2022-06-01,12.701771601336656,count,12.209077951357484,12.284164564239239,real,February 2023,13
2022-07-01,12.697461942396433,count,12.228922488183045,12.288702691318772,real,February 2023,13
2022-08-01,12.727284782262767,count,11.871352891229732,12.369939581419118,real,February 2023,13
2022-09-01,12.77981952474407,count,11.224576107605177,12.34217664028081,real,February 2023,13
2022-10-01,12.842223386198482,count,12.672731406229971,12.484852165285373,real,February 2023,13
2022-11-01,12.868555402323238,count,12.119862224309331,12.338597837650259,real,February 2023,13
2022-12-01,12.885449265368905,count,11.30391421656783,12.161474273013125,real,February 2023,13
2023-01-01,12.952076592584733,count,11.067160707650025,12.065723902465535,real,February 2023,13
2023-02-01,13,count,10.103375554633605,11.874659181556032,real,February 2023,13
2010-01-01,9.372991035909404,share,0.15742117820068807,0.1625622694436766,real,February 2023,13
2010-02-01,9.364070041903146,share,0.16550583019539739,0.16308709814201372,real,February 2023,13
2010-03-01,9.367172996340104,share,0.161874666297456,0.16291433676645548,real,February 2023,13
2010-04-01,9.369327825810215,share,0.1590397078776716,0.1630489736663059,real,February 2023,13
2010-05-01,9.364457911207765,share,0.1661390354055282,0.1639793395346628,real,February 2023,13
2010-06-01,9.360536121572164,share,0.16564602153177233,0.16419563261966452,real,February 2023,13
2010-07-01,9.378033336869462,share,0.1706726931564158,0.16359367855692342,real,February 2023,13
2010-08-01,9.391738052299367,share,0.171892117726832,0.16403412022382005,real,February 2023,13
2010-09-01,9.40690805176895,share,0.15836440894392867,0.16353068008956154,real,February 2023,13
2010-10-01,9.439661459714634,share,0.16287277645035708,0.16357494431637068,real,February 2023,13
2010-11-01,9.463580066832865,share,0.16281940437187845,0.1637455564254104,real,February 2023,13
2010-12-01,9.50159125868562,share,0.17710033423125562,0.16494568119909844,real,February 2023,13
2011-01-01,9.532405320108206,share,0.16433780812676524,0.16552206702627154,real,February 2023,13
2011-02-01,9.563046995173181,share,0.16677890764885023,0.16562815681405926,real,February 2023,13
2011-03-01,9.612521879806927,share,0.17881983959731024,0.16704025458904712,real,February 2023,13
2011-04-01,9.657644008911047,share,0.17093891245946494,0.16803185497086323,real,February 2023,13
2011-05-01,9.688371877154829,share,0.1696889824776553,0.1683276838935405,real,February 2023,13
2011-06-01,9.688371877154829,share,0.1710319812132026,0.16877651386699302,real,February 2023,13
2011-07-01,9.713755768312735,share,0.1759320012278587,0.16921478953961325,real,February 2023,13
2011-08-01,9.74439744337771,share,0.17599543112047467,0.1695567323224168,real,February 2023,13
2011-09-01,9.765557868774199,share,0.16920742586492854,0.17046031706583348,real,February 2023,13
2011-10-01,9.77215164695274,share,0.178535141499676,0.1717655141532767,real,February 2023,13
2011-11-01,9.790209117912267,share,0.17623936141843596,0.1728838439071565,real,February 2023,13
2011-12-01,9.792536333739989,share,0.17159423088845,0.1724250019619227,real,February 2023,13
2012-01-01,9.819213122579962,share,0.1762259589367754,0.17341568119609022,real,February 2023,13
2012-02-01,9.84020116161884,share,0.1784410135265864,0.17438752335256824,real,February 2023,13
2012-03-01,9.8608013313531,share,0.17546375900734765,0.17410784997007134,real,February 2023,13
2012-04-01,9.877178035325942,share,0.17063048764160046,0.17408214790191598,real,February 2023,13
2012-05-01,9.85675025194929,share,0.177807422959449,0.17475868460873212,real,February 2023,13
2012-06-01,9.848604996552272,share,0.17214234128282055,0.17485121461453362,real,February 2023,13
2012-07-01,9.85144937145282,share,0.185133077137025,0.17561797094029746,real,February 2023,13
2012-08-01,9.908681642178964,share,0.1726132854562868,0.1753361254682818,real,February 2023,13
2012-09-01,9.955958600753194,share,0.17068330691184438,0.1754591155555248,real,February 2023,13
