state_abb,low_wage_threshold,low_wage_share,low_wage_count,state_mw,dates,obs_count
AR,13,0.15882739395963236,102000,$11.00,January 2022 through December 2022,1135
AZ,13,NA,NA,$13.85,January 2022 through December 2022,NA
CA,13,NA,NA,$15.50,January 2022 through December 2022,NA
CO,13,NA,NA,$13.65,January 2022 through December 2022,NA
CT,13,NA,NA,$14.00,January 2022 through December 2022,NA
DC,13,NA,NA,$16.10,January 2022 through December 2022,NA
DE,13,0.08950592760090062,24000,$11.75,January 2022 through December 2022,899
FL,13,0.13498449949381408,598000,$11.00,January 2022 through December 2022,2931
GA,13,0.12817850182130602,342000,$7.25,January 2022 through December 2022,1619
HI,13,0.09107698618752927,30000,$12.00,January 2022 through December 2022,1068
IA,13,0.11449095714525268,106000,$7.25,January 2022 through December 2022,978
ID,13,0.11529609238862373,67000,$7.25,January 2022 through December 2022,1646
IL,13,NA,NA,$13.00,January 2022 through December 2022,NA
IN,13,0.09254517587578875,188000,$7.25,January 2022 through December 2022,1488
KS,13,0.11377209874340263,110000,$7.25,January 2022 through December 2022,1204
KY,13,0.14775717310283096,186000,$7.25,January 2022 through December 2022,974
LA,13,0.2189389758137375,186000,$7.25,January 2022 through December 2022,1311
MA,13,NA,NA,$15.00,January 2022 through December 2022,NA
MD,13,NA,NA,$13.25,January 2022 through December 2022,NA
ME,13,NA,NA,$13.80,January 2022 through December 2022,NA
MI,13,0.09787231088991631,267000,$10.10,January 2022 through December 2022,1880
MN,13,0.05055473864224221,95000,$10.59,January 2022 through December 2022,1345
MO,13,0.09324511566968341,172000,$12.00,January 2022 through December 2022,1351
MS,13,0.2404359508975926,161000,$7.25,January 2022 through December 2022,1267
MT,13,0.09228632786250737,31000,$9.95,January 2022 through December 2022,1526
NC,13,0.15125111103953046,344000,$7.25,January 2022 through December 2022,1596
ND,13,0.066412148755842,18000,$7.25,January 2022 through December 2022,1644
NE,13,0.07621572545018862,52000,$10.50,January 2022 through December 2022,1293
NH,13,0.071091341442963,35000,$7.25,January 2022 through December 2022,1318
NJ,13,NA,NA,$14.13,January 2022 through December 2022,NA
NM,13,0.13961556309884415,72000,$12.00,January 2022 through December 2022,1307
NV,13,0.0899966066033461,72000,$10.50,January 2022 through December 2022,1059
NY,13,NA,NA,$14.20,January 2022 through December 2022,NA
OH,13,0.10999920996258451,390000,$10.10,January 2022 through December 2022,2144
OK,13,0.1731778576147031,176000,$7.25,January 2022 through December 2022,1120
OR,13,NA,NA,$13.50,January 2022 through December 2022,NA
PA,13,0.1024584350533373,359000,$7.25,January 2022 through December 2022,2300
RI,13,NA,NA,$13.00,January 2022 through December 2022,NA
SC,13,0.1473141964677693,170000,$7.25,January 2022 through December 2022,1103
SD,13,0.07200955315703121,21000,$10.80,January 2022 through December 2022,1100
TN,13,0.13411784502667345,260000,$7.25,January 2022 through December 2022,1553
TX,13,0.1369677882312991,1160000,$7.25,January 2022 through December 2022,5088
UT,13,0.0807321189021734,87000,$7.25,January 2022 through December 2022,1704
VA,13,0.07589643934779325,173000,$12.00,January 2022 through December 2022,1472
VT,13,NA,NA,$13.18,January 2022 through December 2022,NA
WA,13,NA,NA,$15.74,January 2022 through December 2022,NA
WI,13,0.09327650324960977,192000,$7.25,January 2022 through December 2022,1496
WV,13,0.1766237400974991,66000,$8.75,January 2022 through December 2022,1243
WY,13,0.1389058735868005,22000,$7.25,January 2022 through December 2022,1167
AK,14,0.05750056644038904,11000,$10.85,January 2022 through December 2022,920
AL,14,0.20449210983333516,204000,$7.25,January 2022 through December 2022,1321
AR,14,0.20862707223892069,134000,$11.00,January 2022 through December 2022,1135
AZ,14,NA,NA,$13.85,January 2022 through December 2022,NA
CA,14,NA,NA,$15.50,January 2022 through December 2022,NA
CO,14,NA,NA,$13.65,January 2022 through December 2022,NA
CT,14,NA,NA,$14.00,January 2022 through December 2022,NA
DC,14,NA,NA,$16.10,January 2022 through December 2022,NA
DE,14,0.12007664752129456,32000,$11.75,January 2022 through December 2022,899
FL,14,0.16779844207822947,743000,$11.00,January 2022 through December 2022,2931
GA,14,0.15225753437302295,406000,$7.25,January 2022 through December 2022,1619
HI,14,0.12630711777781806,41000,$12.00,January 2022 through December 2022,1068
IA,14,0.14480201706389242,134000,$7.25,January 2022 through December 2022,978
ID,14,0.15049532305422497,87000,$7.25,January 2022 through December 2022,1646
IL,14,0.10028912908523796,368000,$13.00,January 2022 through December 2022,2362
IN,14,0.12327856824176586,250000,$7.25,January 2022 through December 2022,1488
KS,14,0.14196533615691054,138000,$7.25,January 2022 through December 2022,1204
KY,14,0.1719281189325759,216000,$7.25,January 2022 through December 2022,974
LA,14,0.25364891582192767,216000,$7.25,January 2022 through December 2022,1311
MA,14,NA,NA,$15.00,January 2022 through December 2022,NA
MD,14,NA,NA,$13.25,January 2022 through December 2022,NA
ME,14,NA,NA,$13.80,January 2022 through December 2022,NA
MI,14,0.12367005736030698,338000,$10.10,January 2022 through December 2022,1880
MN,14,0.06290709364346977,118000,$10.59,January 2022 through December 2022,1345
MO,14,0.13030560234101485,240000,$12.00,January 2022 through December 2022,1351
MS,14,0.28047763348637683,188000,$7.25,January 2022 through December 2022,1267
MT,14,0.13101712834082857,45000,$9.95,January 2022 through December 2022,1526
NC,14,0.17236481117595384,392000,$7.25,January 2022 through December 2022,1596
